"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"ITK",3.00759348051687e-10,0.841822554439908,0.00116550718649877,0.972765890225313,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RAD51AP1",2.98709536816581e-10,0.840026791181004,0.00114967440560896,0.972951431659006,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"IGHA2",2.97967803072098e-10,0.83937417342486,0.00114397191907496,0.973018571052335,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ZNF141",2.97175711684239e-10,0.838675585289413,0.00113789793452235,0.973090268871415,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MT1A",2.95924671074706e-10,0.837568705293866,0.00112833752935568,0.973203509887966,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ICOS",2.94687240891242e-10,0.836469596780994,0.00111892081073983,0.97331551945474,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"HIST1H1B",2.93496143139269e-10,0.835407597720547,0.00110989394791385,0.973423335604782,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"HIST1H1E",2.88499072453965e-10,0.830908200901142,0.00107242154065599,0.973875667244735,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PSRC1",2.87391020968973e-10,0.829900735203921,0.00106419956409991,0.973975968499161,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SGK1",2.86294418217472e-10,0.828900131647013,0.00105609369017599,0.97407523381494,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PTPRC",2.84214503182654e-10,0.826992509679053,0.0010408044916241,0.9742635104089,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"NPTX2",2.83796266108904e-10,0.826607357555059,0.00103774354481081,0.97430136994224,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SPOCD1",2.82204457986108e-10,0.825136647785806,0.00102613482338579,0.97444546365762,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PDGFB",2.81088964244665e-10,0.824101431856753,0.00101803867416524,0.974546440921766,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MIR193BHG",2.78436433175487e-10,0.821624433942063,0.000998915632551349,0.974786556257946,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SORBS1",2.78269930998178e-10,0.821468222328946,0.000997721306819304,0.974801628627697,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RASGRP1",2.75559579452664e-10,0.818913136319455,0.000978380330020889,0.975046980558549,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SGCA",2.73398445436399e-10,0.816859075759517,0.000963094200905155,0.975242616801106,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PDE4C",2.65675652529461e-10,0.80939395898673,0.00090945287056265,0.975941733236891,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
