"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"SLC47A2",4.49913842238368e-12,-0.857732031344636,1.24924413268127e-10,0.99999108207695,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"KCNN3",4.19629221708954e-12,-0.867011883863876,1.0867259939909e-10,0.999991682360582,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"OR5AU1",3.99601892776654e-12,-0.873478769788638,9.85470621055928e-11,0.999992079330316,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SPINK6",3.92445367656446e-12,-0.875859096930387,9.50488841034898e-11,0.999992221182676,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"LTB",3.82135570495713e-12,-0.879356425583736,9.0120488808907e-11,0.999992425537308,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"WFDC5",3.62595008730077e-12,-0.886219780152716,8.11394858411567e-11,0.999992812858635,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"LINC02605",3.61124093246687e-12,-0.886749524003803,8.04825145929956e-11,0.999992842014242,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"BMP7",3.43403365420199e-12,-0.89328577477273,7.27775954099993e-11,0.999993193263908,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SPINK5",3.25135828357662e-12,-0.900342809010218,6.52406481083508e-11,0.9999935553521,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"NPR3",3.1605411164725e-12,-0.90398231175659,6.16469361999053e-11,0.999993735364457,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"PODXL",3.14854675392869e-12,-0.904469861043559,6.1179919558607e-11,0.999993759138965,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"GDNF",3.12514302238268e-12,-0.905425915454952,6.02737765252024e-11,0.999993805528441,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"MIR3945HG",3.05952586815488e-12,-0.908140480296279,5.77692683516909e-11,0.999993935590839,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"LMOD3",3.01402244693993e-12,-0.910053255816067,5.60636763544668e-11,0.999994025784999,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"DUSP26",2.75075062334797e-12,-0.921647756236969,4.66972223256186e-11,0.999994547626659,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"AFAP1-AS1",2.72643126562892e-12,-0.922767584017727,4.58751730090668e-11,0.999994595831035,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"CSAG1",2.58626768553235e-12,-0.92939880390942,4.12796071219423e-11,0.9999948736549,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"DDN",2.51295859044086e-12,-0.932994346427995,3.89725903544551e-11,0.999995018963803,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"EEF1A2",2.38923336171513e-12,-0.939277953885332,3.52294407403831e-11,0.99999526420455,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"KLK12",2.38921773545683e-12,-0.93927876544587,3.52289799209846e-11,0.999995264235524,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"ZBP1",2.38295559754585e-12,-0.939604371338451,3.50445516708513e-11,0.999995276647959,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SLC9A2",2.38075513188374e-12,-0.939718965851067,3.49798599675998e-11,0.99999528100959,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"RYR1",2.23049184462286e-12,-0.947774383158867,3.07036415738715e-11,0.99999557885249,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SLAMF9",2.0142977711438e-12,-0.960247577916057,2.50400938696106e-11,0.99999600737945,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FAM30A",1.9234609546188e-12,-0.965843908924982,2.28325994403396e-11,0.999996187430754,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
