"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"SASH1_KO","LUM",3.43667399812509e-05,2.93654721245798,10.4900409574244,0.00120019710997086,0.868942707618902,"SASH1","KO",FALSE,"Activated",0.0610088571361644
"SASH1_KO","DCN",1.52271138946191e-05,2.55878279365932,2.05937626038869,0.151272079879523,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","WNT5A",7.46591341384717e-06,2.24717140834454,0.495069769218645,0.481674470438615,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","GAS1",6.04316871151494e-06,2.1580230338079,0.324361983598052,0.56899796931309,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","PDGFRA",5.70894705136624e-06,2.13428302894851,0.28947598470681,0.590556527393151,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","CTSK",5.06137344798535e-06,2.08439168559219,0.227529270634855,0.633361919630538,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","STEAP1",4.50503628690625e-06,2.03658326832271,0.18025905778973,0.671150704853911,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","FAP",4.47281455136924e-06,2.03365030950241,0.177689716334162,0.673366225565936,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","MMP2",4.42088476817234e-06,2.02888219282013,0.173587680387348,0.676942808582978,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","CTHRC1",3.39317199962735e-06,1.92201358746515,0.102261523568873,0.749132412956658,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","MCAM",3.37881897817376e-06,1.92031927237386,0.1013982266029,0.75015811599866,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","IGFBP7",3.00159220999336e-06,1.87322698949331,0.0800209842638453,0.77726897559022,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","SPARCL1",2.92818583856136e-06,1.86343258057466,0.0761548876336546,0.782577444682925,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","MYLK",2.87353890821869e-06,1.85599309331398,0.0733389476015713,0.78653590227662,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","MYL9",2.74273679974947e-06,1.83764219615663,0.0668142006374162,0.796033063672936,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","NR2F2",2.69389409180287e-06,1.83058228426561,0.0644557320704935,0.799587235259997,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","CDH6",2.63341840827976e-06,1.82167553134406,0.0615942602810476,0.803993662574132,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","NOTCH3",2.6248675751444e-06,1.82040099389604,0.0611949107822138,0.8046172065779,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
"SASH1_KO","MRVI1",2.56332683299712e-06,1.81111352162459,0.0583590854328524,0.80910852544247,0.999999999999914,"SASH1","KO",FALSE,"Activated",3.71748238356308e-14
