"sample_id","min_nFeature","max_nFeature","min_nCount","max_nCount","max_percent_mt"
"OSCC",200,8859,500,107626,20
"scB1",200,9010,500,127529,20
"scB2",200,6910,500,62323,20
"scB5",200,5567,500,29008,20
"scB7",200,6190,500,53316,20
"scB8",200,5528,500,27543,20
"scB9",200,7890,500,82304,20
"scB10",200,8721,500,104793,20
"scB12",200,8094,500,81651,20
"scB13",200,2639,500,9238,20
"scB14",200,8293,500,79623,20
"scB15",200,6366,500,40177,20
