"cluster","cell_number","percent_of_all_cells"
"0",12299,27.28
"1",5093,11.3
"2",4723,10.48
"3",3851,8.54
"4",3532,7.83
"5",3280,7.28
"6",2617,5.8
"7",2249,4.99
"8",1667,3.7
"9",1600,3.55
"10",1589,3.52
"11",904,2.01
"12",798,1.77
"13",687,1.52
"14",134,0.3
"15",61,0.14
