"paper_style_spatial_cluster","score_Fibrotic_Stroma","score_Myeloid_rich_Inflammatory_Zone","score_Differentiated_Keratinizing_Tumor","score_Metabolic_Secretory_Tumor","score_Basal_like_Proliferative_Tumor","score_CSC_like_Niche","spot_number"
"0",2.39533055762318,-0.448392462878566,-0.713257991542895,-0.571128318199603,0.111327696448102,0.36473112724385,1187
"1",-0.020375845915303,0.605032921247127,-0.270604286731642,0.488050510013503,0.455472686787086,0.471898580227957,1114
"10",0.113060667270504,-0.134218889433766,0.309754506828847,-0.0518004356984974,0.485446314422273,0.483806818890642,591
"11",0.0165267162459392,0.45995635022853,-0.490732039002973,-0.0767786390452076,0.524309686827316,0.445510684899432,527
"12",-0.420990453999105,-0.326061540802737,1.78104689047974,0.30900472710519,0.632809582138325,0.234728616468191,522
"13",-0.325472333726446,-0.068835006048287,0.117746412433266,-0.346952906395985,0.73228294568588,0.454112238772368,503
"14",-0.326035336071184,-0.519631301924452,-0.11861388969697,-0.256666557866603,0.57285910533191,0.620882762706285,395
"15",-0.326330069156572,-0.160544015551315,1.4308631226351,0.649845252523278,0.56142126737503,0.34428502327144,367
"16",-0.021926306471932,0.365885135462137,-0.073614593194214,0.0199977490810105,0.503683679275103,0.345078508869461,307
"17",-0.601568523663403,-0.355674091714736,1.96352649646659,0.29287974856091,0.497206345209773,0.313334317185407,296
"18",1.34803761875851,-0.474428793946635,-0.612368877604339,-0.357215939588725,0.321518644792739,0.591548852532743,234
"19",0.507698568988696,0.115546619967676,0.725861962097982,0.0706134097523185,0.5914125454901,0.569323941342309,123
"2",-0.440415627198491,-0.393958818154918,1.02895732969051,-0.18868166314741,0.86454354482641,0.231981436811155,913
"3",0.576884181622212,-0.0262005941405702,0.113974436434336,-0.153782940521222,0.486351906208947,0.684124517457378,812
"4",-0.0294558620724359,-0.310546564605184,1.8728173329399,0.466151614039753,0.332941427432443,0.38984932328147,796
"5",-0.129714590984241,-0.424338320526623,0.570969058363018,-0.111774668522698,0.764398470863272,0.57190867740711,785
"6",-0.260529284785475,-0.392519141694772,1.0717022766716,0.334047458155258,0.63459761675914,0.703655811629818,660
"7",0.698211461867322,0.575610636793584,-0.302434438015806,-0.298300641427776,0.320909507131703,0.226778559635654,622
"8",-0.315218750282068,-0.0390167401725185,0.212969516321888,-0.216103933625806,0.734522811721935,0.318801349948484,593
"9",0.6165178817837,-0.103536335313191,0.410735430128698,-0.265559631931857,0.704048451187635,0.191489243213405,591
