"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.98385210118891,0.7,0.068,0,"6","PRF1"
0,3.94693112890792,0.252,0.016,0,"6","ZNF683"
6.48458727673064e-216,3.82550359960184,0.129,0.021,1.75142217757218e-211,"6","SCX"
0,5.04460395400101,0.349,0.003,0,"4","AC036176.3"
0,4.04624538378264,0.114,0.001,0,"4","HOXC8"
0,3.67581042520034,0.738,0.065,0,"4","LAMC2"
0,3.65976520143257,0.356,0.009,0,"4","DKK1"
0,3.65092768919314,0.712,0.046,0,"4","LAMA3"
0,3.64195155949156,0.188,0.002,0,"4","GDPD2"
0,3.6088686925478,0.674,0.019,0,"4","TENM2"
0,3.5709392785403,0.115,0.002,0,"4","AC002377.1"
0,3.56919827733717,0.469,0.011,0,"4","C6orf141"
0,3.53526037692557,0.179,0.003,0,"4","MIR924HG"
0,3.53497383822524,0.631,0.052,0,"4","FST"
0,3.48844618359526,0.489,0.008,0,"4","COL4A5"
0,3.48137440224573,0.213,0.005,0,"4","GJB4"
0,3.45982899339117,0.809,0.099,0,"4","FGFBP1"
0,3.41012443747993,0.385,0.012,0,"4","HEPHL1"
0,4.24917427431378,0.333,0.033,0,"0","GZMK"
0,3.37748230619093,0.191,0.035,0,"0","TRAT1"
0,3.16745962478905,0.165,0.042,0,"0","TC2N"
0,3.07801802184961,0.243,0.051,0,"0","GZMM"
2.17392253638269e-300,3.05143860791363,0.112,0.025,5.871547378516e-296,"0","THEMIS"
0,3.00916630802874,0.155,0.034,0,"0","SAMD3"
1.04488154921327e-316,2.87972690802061,0.124,0.029,2.82212057627013e-312,"0","CD8B"
1.94707851002217e-250,2.81131571626201,0.117,0.032,5.25886434771887e-246,"0","SCML4"
0,2.77078604875268,0.227,0.064,0,"0","CD6"
0,2.76874518297732,0.188,0.049,0,"0","KLRK1"
0,2.74846576636052,0.564,0.204,0,"0","BCL11B"
1.09069747622984e-204,2.71013685515628,0.137,0.05,2.94586481354916e-200,"0","SLFN12L"
0,2.70955953746507,0.273,0.084,0,"0","RNF125"
0,2.70778336434043,0.249,0.056,0,"0","CD8A"
0,2.70361454016199,0.24,0.081,0,"0","MIAT"
0,6.18911803552191,0.303,0.011,0,"3","IVL"
0,6.14424845595614,0.319,0.03,0,"3","SPRR2E"
0,6.08201913167664,0.104,0.003,0,"3","SLURP1"
9.37280287346583e-293,6.02519546374849,0.102,0.014,2.53150032809439e-288,"3","SPRR3"
0,5.97752260023447,0.157,0.005,0,"3","S100A7A"
0,5.97476355891722,0.29,0.036,0,"3","CNFN"
0,5.90708275712264,0.752,0.104,0,"3","SPRR1B"
0,5.87134815626515,0.229,0.011,0,"3","SLURP2"
0,5.8557380683595,0.566,0.069,0,"3","SPRR2A"
0,5.85442146128761,0.645,0.093,0,"3","KRTDAP"
0,5.79449490242033,0.103,0.004,0,"3","KLK13"
0,5.75670234704834,0.418,0.048,0,"3","SPRR2D"
0,5.65113203133751,0.702,0.162,0,"3","S100A7"
0,5.51505610174937,0.512,0.042,0,"3","SBSN"
0,5.45512852288093,0.296,0.034,0,"3","S100A12"
0,7.82397759338431,0.18,0.001,0,"8","FCRL1"
0,7.49799757526676,0.291,0.003,0,"8","CD19"
0,7.42422961571226,0.741,0.014,0,"8","BANK1"
0,7.35770573961674,0.155,0.001,0,"8","SHISA8"
0,7.27713274462422,0.403,0.005,0,"8","TNFRSF13B"
0,7.23110369358655,0.832,0.013,0,"8","MS4A1"
0,7.0940680068609,0.18,0.001,0,"8","LINC01781"
0,6.65954090600921,0.118,0.002,0,"8","C12orf74"
0,6.42648242485058,0.21,0.004,0,"8","LINC02397"
0,6.23993075975781,0.481,0.011,0,"8","TNFRSF13C"
0,6.23833339976813,0.231,0.004,0,"8","VPREB3"
0,6.1697234060201,0.303,0.006,0,"8","BLK"
0,6.04815925433909,0.361,0.009,0,"8","PAX5"
0,5.76615520789815,0.213,0.008,0,"8","TLR10"
0,5.59214379503962,0.193,0.011,0,"8","LINC00926"
0,5.22318687166461,0.186,0.02,0,"11","HIST1H3G"
0,4.73921718546758,0.302,0.019,0,"11","HIST1H3B"
0,4.58240694761084,0.147,0.009,0,"11","E2F2"
0,4.32225819770772,0.223,0.021,0,"11","KIF15"
9.63519264814289e-255,4.26077766474376,0.111,0.01,2.60236918233691e-250,"11","HIST1H3F"
0,4.15830280267948,0.25,0.019,0,"11","HIST1H2AL"
0,4.15100934351138,0.33,0.032,0,"11","HIST1H1B"
0,4.13115179208234,0.206,0.027,0,"11","C21orf58"
8.89632252984617e-267,4.11678861502956,0.148,0.017,2.40280775208615e-262,"11","E2F8"
0,4.08680042929693,0.448,0.053,0,"11","ASPM"
0,4.05535233684103,0.196,0.025,0,"11","POLQ"
0,4.04905750549205,0.136,0.011,0,"11","HIST1H2AJ"
0,3.90420185526323,0.578,0.08,0,"11","MKI67"
0,3.89959734286088,0.319,0.039,0,"11","GTSE1"
0,3.861833454808,0.25,0.033,0,"11","ESCO2"
0,8.94014594773548,0.293,0.004,0,"14","FCGR3B"
0,8.15179252763054,0.132,0.002,0,"14","CMTM2"
