"spatial_sample_id","gene","total_spots","expressing_spots","expression_pct","mean_expression","median_expression","maximum_expression"
"UH8","SASH1",844,151,17.8909952606635,0.0624078457522603,0,0.964663233555208
"UH8","COL1A1",844,813,96.3270142180095,1.68916577758792,1.67473763400633,4.41038098622633
"UH8","EMP1",844,766,90.7582938388626,1.30468341341108,1.16116319316674,3.82084712476228
"UH8","MYH11",844,15,1.77725118483412,0.00837398403180478,0,1.07580999779413
"UH12","SASH1",835,87,10.4191616766467,0.0704867865186283,0,2.38616016791626
"UH12","COL1A1",835,666,79.7604790419162,1.44236003921763,1.59820522622881,4.23545899846362
"UH12","EMP1",835,556,66.5868263473054,0.903256134877988,0.859520019880326,3.32280215749681
"UH12","MYH11",835,4,0.479041916167665,0.00244484025806713,0,1.0797734269717
"UH17","SASH1",2513,1039,41.3450059689614,0.241617346252122,0,2.54235776083478
"UH17","COL1A1",2513,2062,82.0533227218464,1.00933880658186,0.797756773554989,4.69781533129992
"UH17","EMP1",2513,2235,88.9375248706725,1.4381802654701,1.26432701466006,4.82591997895124
"UH17","MYH11",2513,106,4.21806605650617,0.0267422553698494,0,2.2210416706577
"UH19","SASH1",1451,81,5.58235699517574,0.0221724529388241,0,1.81634322825567
"UH19","COL1A1",1451,1375,94.7622329427981,1.56316469703874,1.50751787205754,4.49354832014777
"UH19","EMP1",1451,1044,71.9503790489318,0.562803507003676,0.455313767255259,2.86190628673084
"UH19","MYH11",1451,24,1.65403170227429,0.00902246168588837,0,1.88931305995646
"UH20","SASH1",1126,333,29.5737122557726,0.120677367767862,0,2.73093319654561
"UH20","COL1A1",1126,1085,96.3587921847247,1.56926290279016,1.4130285359358,5.30305239587718
"UH20","EMP1",1126,966,85.7904085257549,0.779400326587599,0.74430096113169,2.72399492798366
"UH20","MYH11",1126,67,5.95026642984014,0.0334695794142584,0,1.35119793049337
"UH21","SASH1",2535,1142,45.0493096646943,0.261842392287458,0,2.9539628606777
"UH21","COL1A1",2535,2456,96.8836291913215,1.90967514770205,2.02413795780538,4.41836071568037
"UH21","EMP1",2535,2255,88.9546351084813,1.27484751453895,1.08480536322201,4.79741768666273
"UH21","MYH11",2535,156,6.15384615384615,0.0361631759983694,0,1.93933903819439
"UH22","SASH1",1214,346,28.500823723229,0.161140362536923,0,4.04620025685669
"UH22","COL1A1",1214,884,72.8171334431631,1.09126681193958,0.838166573130015,5.38795441126451
"UH22","EMP1",1214,827,68.1219110378913,1.19528658776782,0.909198633905048,4.61054295668205
"UH22","MYH11",1214,24,1.97693574958814,0.0177835709007042,0,2.73969480276069
"UH24","SASH1",1420,415,29.2253521126761,0.154789728152751,0,2.3006523778274
"UH24","COL1A1",1420,1415,99.6478873239437,4.67985735631328,4.84766429536248,6.36718431767932
"UH24","EMP1",1420,1231,86.6901408450704,1.11072145597022,1.19001546614285,2.89719772296656
"UH24","MYH11",1420,174,12.2535211267606,0.0741430158058987,0,1.86567631249206
