"epithelial_core_cluster","cell_number","Cycling_relative_z","Cancer_testis_relative_z","Squamous_differentiation_relative_z","Basal_epithelial_relative_z","relative_program_label","top_program","top_program_relative_z","second_program","second_program_relative_z","top_vs_second_margin"
"0",942,0.389649938143291,-0.448833077398865,-0.35889387553862,-0.178206991381677,"Cycling","Cycling",0.389649938143291,"Basal_epithelial",-0.178206991381677,0.567856929524968
"1",911,0.431858454738154,-0.455684833869024,-0.404029386672203,0.564132877301953,"Mixed_epithelial_program","Basal_epithelial",0.564132877301953,"Cycling",0.431858454738154,0.132274422563799
"2",714,-0.614777133190303,1.45563394296956,-0.425475121691874,-0.45918514595606,"Cancer_testis","Cancer_testis",1.45563394296956,"Squamous_differentiation",-0.425475121691874,1.88110906466144
"3",547,-0.0483518187937441,-0.466040887543234,0.335219467743424,0.511871128080672,"Basal_epithelial","Basal_epithelial",0.511871128080672,"Squamous_differentiation",0.335219467743424,0.176651660337248
"4",488,-0.333703023750838,-0.437896254014082,0.579101686167315,0.261626779659191,"Squamous_differentiation","Squamous_differentiation",0.579101686167315,"Basal_epithelial",0.261626779659191,0.317474906508124
"5",341,0.498467700864935,1.49260134916108,-0.656655622839915,-0.83755991704919,"Cancer_testis","Cancer_testis",1.49260134916108,"Cycling",0.498467700864935,0.994133648296141
"6",288,-0.663206517398025,-0.522236720891755,1.87087379667112,-1.05860375856272,"Squamous_differentiation","Squamous_differentiation",1.87087379667112,"Cancer_testis",-0.522236720891755,2.39311051756288
"7",171,-0.650297715867173,-0.53419964747329,1.33964491898002,0.962705073205402,"Squamous_differentiation","Squamous_differentiation",1.33964491898002,"Basal_epithelial",0.962705073205402,0.376939845774613
