"spatial_sample_id","permutation_id","permuted_median_distance","observed_median_distance"
"All_spots",1,197.101496696499,222.389298303673
"All_spots",2,198.539668580362,222.389298303673
"All_spots",3,205.197465871292,222.389298303673
"All_spots",4,203.120653799657,222.389298303673
"All_spots",5,211.697897958388,222.389298303673
"All_spots",6,204.156802482798,222.389298303673
"All_spots",7,213.377599574088,222.389298303673
"All_spots",8,175.567650778838,222.389298303673
"All_spots",9,199.323857076869,222.389298303673
"All_spots",10,204.156802482798,222.389298303673
"All_spots",11,205.156038175824,222.389298303673
"All_spots",12,199.323857076869,222.389298303673
"All_spots",13,198.979898482234,222.389298303673
"All_spots",14,204.156802482798,222.389298303673
"All_spots",15,204.156802482798,222.389298303673
"All_spots",16,208.722303551872,222.389298303673
"All_spots",17,194.794763789995,222.389298303673
"All_spots",18,195.386795869117,222.389298303673
"All_spots",19,198.736005796635,222.389298303673
"All_spots",20,175.641680702503,222.389298303673
"All_spots",21,176.309387157916,222.389298303673
"All_spots",22,205.119477378429,222.389298303673
"All_spots",23,185.421142268081,222.389298303673
"All_spots",24,204.120062708201,222.389298303673
"All_spots",25,205.156038175824,222.389298303673
"All_spots",26,208.355465491069,222.389298303673
"All_spots",27,198.736005796635,222.389298303673
"All_spots",28,198.385987408385,222.389298303673
"All_spots",29,198.736005796635,222.389298303673
"All_spots",30,206.155281280883,222.389298303673
"All_spots",31,199.323857076869,222.389298303673
"All_spots",32,212.445287074108,222.389298303673
"All_spots",33,204.156802482798,222.389298303673
"All_spots",34,204.156802482798,222.389298303673
"All_spots",35,202.607995893548,222.389298303673
"All_spots",36,175.567650778838,222.389298303673
"All_spots",37,200.262327960103,222.389298303673
"All_spots",38,198.539668580362,222.389298303673
"All_spots",39,172.52536045463,222.389298303673
"All_spots",40,199.672231419394,222.389298303673
"All_spots",41,179.744262773531,222.389298303673
"All_spots",42,198.406149098258,222.389298303673
"All_spots",43,204.156802482798,222.389298303673
"All_spots",44,196.654519398869,222.389298303673
"All_spots",45,199.722307216795,222.389298303673
"All_spots",46,174.897112611958,222.389298303673
"All_spots",47,205.156038175824,222.389298303673
"All_spots",48,204.188638273534,222.389298303673
"All_spots",49,204.313484625954,222.389298303673
"All_spots",50,212.46176126541,222.389298303673
"All_spots",51,202.35859260234,222.389298303673
"All_spots",52,203.393706883964,222.389298303673
"All_spots",53,194.077304185729,222.389298303673
"All_spots",54,175.641680702503,222.389298303673
"All_spots",55,203.157574311174,222.389298303673
"All_spots",56,200.262327960103,222.389298303673
"All_spots",57,209.351379264623,222.389298303673
"All_spots",58,209.652092763225,222.389298303673
"All_spots",59,199.672231419394,222.389298303673
"All_spots",60,200.262327960103,222.389298303673
"All_spots",61,204.266982158155,222.389298303673
"All_spots",62,199.323857076869,222.389298303673
"All_spots",63,174.897112611958,222.389298303673
"All_spots",64,205.156038175824,222.389298303673
"All_spots",65,199.672231419394,222.389298303673
"All_spots",66,206.196508214858,222.389298303673
"All_spots",67,183.806963959476,222.389298303673
"All_spots",68,204.707107839469,222.389298303673
"All_spots",69,193.155377869735,222.389298303673
"All_spots",70,175.641680702503,222.389298303673
"All_spots",71,197.489240213233,222.389298303673
"All_spots",72,199.672231419394,222.389298303673
"All_spots",73,205.119477378429,222.389298303673
"All_spots",74,183.806963959476,222.389298303673
"All_spots",75,206.118897726531,222.389298303673
"All_spots",76,183.806963959476,222.389298303673
"All_spots",77,200.242353162362,222.389298303673
"All_spots",78,196.173392691262,222.389298303673
"All_spots",79,206.155281280883,222.389298303673
"All_spots",80,205.156038175824,222.389298303673
"All_spots",81,175.567650778838,222.389298303673
"All_spots",82,208.568933448872,222.389298303673
"All_spots",83,209.84756372186,222.389298303673
"All_spots",84,207.077280260293,222.389298303673
"All_spots",85,205.156038175824,222.389298303673
"All_spots",86,180.04443895883,222.389298303673
"All_spots",87,201.556443707464,222.389298303673
"All_spots",88,204.462710536665,222.389298303673
"All_spots",89,198.385987408385,222.389298303673
"All_spots",90,201.955440629858,222.389298303673
"All_spots",91,204.1984329029,222.389298303673
"All_spots",92,198.406149098258,222.389298303673
"All_spots",93,198.385987408385,222.389298303673
"All_spots",94,199.672231419394,222.389298303673
"All_spots",95,194.077304185729,222.389298303673
"All_spots",96,194.288445358956,222.389298303673
"All_spots",97,204.156802482798,222.389298303673
"All_spots",98,203.120653799657,222.389298303673
"All_spots",99,204.156802482798,222.389298303673
"All_spots",100,199.323857076869,222.389298303673
"All_spots",101,204.156802482798,222.389298303673
"All_spots",102,200.262327960103,222.389298303673
"All_spots",103,195.923454440759,222.389298303673
"All_spots",104,198.736005796635,222.389298303673
"All_spots",105,206.155281280883,222.389298303673
"All_spots",106,196.173392691262,222.389298303673
"All_spots",107,211.376441449846,222.389298303673
"All_spots",108,208.542561603141,222.389298303673
"All_spots",109,207.793166393893,222.389298303673
"All_spots",110,202.35859260234,222.389298303673
"All_spots",111,194.077304185729,222.389298303673
"All_spots",112,185.800968781113,222.389298303673
"All_spots",113,198.385987408385,222.389298303673
"All_spots",114,204.120062708201,222.389298303673
"All_spots",115,185.20529150108,222.389298303673
"All_spots",116,205.156038175824,222.389298303673
"All_spots",117,195.77793542685,222.389298303673
"All_spots",118,208.165799304305,222.389298303673
"All_spots",119,198.010100752462,222.389298303673
"All_spots",120,185.800968781113,222.389298303673
"All_spots",121,202.871880752361,222.389298303673
"All_spots",122,196.758735511285,222.389298303673
"All_spots",123,213.138452654607,222.389298303673
"All_spots",124,211.697897958388,222.389298303673
"All_spots",125,211.322029140362,222.389298303673
"All_spots",126,198.929635801205,222.389298303673
"All_spots",127,202.871880752361,222.389298303673
"All_spots",128,204.156802482798,222.389298303673
"All_spots",129,198.010100752462,222.389298303673
"All_spots",130,206.155281280883,222.389298303673
"All_spots",131,195,222.389298303673
"All_spots",132,206.155281280883,222.389298303673
"All_spots",133,175.641680702503,222.389298303673
"All_spots",134,187.408644411084,222.389298303673
"All_spots",135,212.313447525116,222.389298303673
"All_spots",136,205.197465871292,222.389298303673
"All_spots",137,195.386795869117,222.389298303673
"All_spots",138,204.156802482798,222.389298303673
"All_spots",139,198.385987408385,222.389298303673
"All_spots",140,187.408644411084,222.389298303673
"All_spots",141,206.155281280883,222.389298303673
"All_spots",142,204.156802482798,222.389298303673
"All_spots",143,181.024860171193,222.389298303673
"All_spots",144,205.625873858326,222.389298303673
"All_spots",145,198.010100752462,222.389298303673
"All_spots",146,198.929635801205,222.389298303673
"All_spots",147,198.736005796635,222.389298303673
"All_spots",148,202.871880752361,222.389298303673
"All_spots",149,203.157574311174,222.389298303673
"All_spots",150,207.634293891929,222.389298303673
"All_spots",151,200.242353162362,222.389298303673
"All_spots",152,204.592277469117,222.389298303673
"All_spots",153,198.736005796635,222.389298303673
"All_spots",154,207.793166393893,222.389298303673
"All_spots",155,184.024454896625,222.389298303673
"All_spots",156,205.156038175824,222.389298303673
"All_spots",157,212.249852767911,222.389298303673
"All_spots",158,204.120062708201,222.389298303673
"All_spots",159,203.120653799657,222.389298303673
"All_spots",160,202.871880752361,222.389298303673
"All_spots",161,200.638979263751,222.389298303673
"All_spots",162,201.955440629858,222.389298303673
"All_spots",163,205.197465871292,222.389298303673
"All_spots",164,197.489240213233,222.389298303673
"All_spots",165,198.806438527529,222.389298303673
"All_spots",166,196.654519398869,222.389298303673
"All_spots",167,196.094365038876,222.389298303673
"All_spots",168,198.406149098258,222.389298303673
"All_spots",169,198.736005796635,222.389298303673
"All_spots",170,203.393706883964,222.389298303673
"All_spots",171,205.766858361593,222.389298303673
"All_spots",172,213.018778514947,222.389298303673
"All_spots",173,208.463426048792,222.389298303673
"All_spots",174,204.120062708201,222.389298303673
"All_spots",175,204.156802482798,222.389298303673
"All_spots",176,212.565284089383,222.389298303673
"All_spots",177,199.722307216795,222.389298303673
"All_spots",178,207.86774641584,222.389298303673
"All_spots",179,183.918460193641,222.389298303673
"All_spots",180,204.313484625954,222.389298303673
"All_spots",181,204.156802482798,222.389298303673
"All_spots",182,205.156038175824,222.389298303673
"All_spots",183,200.638979263751,222.389298303673
"All_spots",184,205.766858361593,222.389298303673
"All_spots",185,195.77793542685,222.389298303673
"All_spots",186,204.120062708201,222.389298303673
"All_spots",187,198.979898482234,222.389298303673
"All_spots",188,202.35859260234,222.389298303673
"All_spots",189,200.262327960103,222.389298303673
"All_spots",190,198.040399918804,222.389298303673
"All_spots",191,204.156802482798,222.389298303673
"All_spots",192,197.101496696499,222.389298303673
"All_spots",193,184.252544080129,222.389298303673
"All_spots",194,204.156802482798,222.389298303673
"All_spots",195,201.955440629858,222.389298303673
"All_spots",196,213.459598050779,222.389298303673
"All_spots",197,178.440466262561,222.389298303673
"All_spots",198,204.120062708201,222.389298303673
"All_spots",199,192.23423212321,222.389298303673
"All_spots",200,199.323857076869,222.389298303673
"All_spots",201,207.793166393893,222.389298303673
"All_spots",202,178.616908494129,222.389298303673
"All_spots",203,195.386795869117,222.389298303673
"All_spots",204,204.707107839469,222.389298303673
"All_spots",205,212.313447525116,222.389298303673
"All_spots",206,202.35859260234,222.389298303673
"All_spots",207,200.743617582228,222.389298303673
"All_spots",208,201.955440629858,222.389298303673
"All_spots",209,204.156802482798,222.389298303673
"All_spots",210,199.323857076869,222.389298303673
"All_spots",211,179.044687159379,222.389298303673
"All_spots",212,203.54115063053,222.389298303673
"All_spots",213,185.20529150108,222.389298303673
"All_spots",214,209.351379264623,222.389298303673
"All_spots",215,204.156802482798,222.389298303673
"All_spots",216,173.046236595888,222.389298303673
"All_spots",217,206.155281280883,222.389298303673
"All_spots",218,182.408881362723,222.389298303673
"All_spots",219,202.474689776278,222.389298303673
"All_spots",220,204.120062708201,222.389298303673
"All_spots",221,208.463426048792,222.389298303673
"All_spots",222,194.288445358956,222.389298303673
"All_spots",223,211.539594402561,222.389298303673
"All_spots",224,205.625873858326,222.389298303673
"All_spots",225,204.266982158155,222.389298303673
"All_spots",226,197.448727521856,222.389298303673
"All_spots",227,208.165799304305,222.389298303673
"All_spots",228,204.156802482798,222.389298303673
"All_spots",229,212.445287074108,222.389298303673
"All_spots",230,208.463426048792,222.389298303673
"All_spots",231,198.385987408385,222.389298303673
"All_spots",232,204.1984329029,222.389298303673
"All_spots",233,184.491192201688,222.389298303673
"All_spots",234,205.197465871292,222.389298303673
"All_spots",235,195.931110342385,222.389298303673
"All_spots",236,198.040399918804,222.389298303673
"All_spots",237,200.262327960103,222.389298303673
"All_spots",238,213.845738793178,222.389298303673
"All_spots",239,202.35859260234,222.389298303673
"All_spots",240,204.120062708201,222.389298303673
"All_spots",241,190.128903641714,222.389298303673
"All_spots",242,204.156802482798,222.389298303673
"All_spots",243,204.592277469117,222.389298303673
"All_spots",244,181.024860171193,222.389298303673
"All_spots",245,208.542561603141,222.389298303673
"All_spots",246,204.1984329029,222.389298303673
"All_spots",247,197.448727521856,222.389298303673
"All_spots",248,207.992788336519,222.389298303673
"All_spots",249,196.308430791956,222.389298303673
"All_spots",250,207.793166393893,222.389298303673
"All_spots",251,204.707107839469,222.389298303673
"All_spots",252,208.463426048792,222.389298303673
"All_spots",253,204.1984329029,222.389298303673
"All_spots",254,198.539668580362,222.389298303673
"All_spots",255,204.156802482798,222.389298303673
"All_spots",256,204.156802482798,222.389298303673
"All_spots",257,208.355465491069,222.389298303673
"All_spots",258,187.20042734994,222.389298303673
"All_spots",259,201.955440629858,222.389298303673
"All_spots",260,205.156038175824,222.389298303673
"All_spots",261,202.871880752361,222.389298303673
