"group","cnv_expression_deviation_score","mean_positive_deviation","mean_negative_deviation","cell_number"
"Reference_split_A",0.0146653753941198,0.00038941468560768,0.0142759607085121,31
"Reference_split_B",0.0146653753941198,0.0142759607085121,0.00038941468560768,30
"Tumor_cluster_2",0.0266927730202777,0.00359953128344701,0.0230932417368307,4723
"Tumor_cluster_3",0.0172802553602879,0.00542438541776308,0.0118558699425248,3851
"Tumor_cluster_4",0.0202281263742119,0.00330915497248516,0.0169189714017267,3532
"Tumor_cluster_6",0.0581708421953407,0.0580049457212366,0.000165896474104059,2617
"Tumor_cluster_11",0.0840697633935919,0.0836589167196953,0.000410846673896595,904
