"Figure5_status","cell_number","median_pseudotime_value","SASH1_mean","MYH11_mean","EMP1_mean","COL1A1_mean"
"Core malignant focus",3810,13874.5,0.172328055438427,0.162970864750851,0.786418542188247,2.18071423303433
"Extended malignant focus",3543,20347,0.0175210022209953,0.00495332778148444,0.0281537983546768,0.116101361942429
"Candidate malignant-related tumor",8200,24324.5,0.00350117616369106,0.0101342592368014,0.0623303149576238,0.230560939297634
"Other tumor/epithelial",6633,8770,0.047592320209672,0.00898021211066135,0.213910701354147,0.146732171166239
"Other non-tumor",22898,32074.5,0.0821664490343069,0.0386512501434928,0.157688278299955,0.0818486186465306
