"vertex_id","UMAP_1","UMAP_2"
"Y_1",-8.08942302213025,10.4379130172834
"Y_2",6.53089795551304,-5.13147985147337
"Y_3",4.73705440588432,6.25192291576101
"Y_4",5.77121864450906,7.04955188767263
"Y_5",4.24082812145484,9.17182312795025
"Y_6",5.39559714130981,6.59153777247516
"Y_7",-7.10146783869421,-1.32885452082068
"Y_8",3.54123234181819,-3.37164818216168
"Y_9",7.39833730430466,-5.74219203322565
"Y_10",-3.92971024088878,12.4888419686276
"Y_11",4.64972683314575,8.02415075560808
"Y_12",5.0459366297319,8.19716936749496
"Y_13",6.04483530976786,7.53564541920526
"Y_14",4.41172753601845,4.18948980550575
"Y_15",-1.82442015177391,-12.6502694245337
"Y_16",-3.45859480581642,12.2705730263308
"Y_17",-7.17679271009641,10.4450566898882
"Y_18",4.92015156315558,7.97822361270914
"Y_19",4.99931236221976,6.42545751724986
"Y_20",3.75166692552106,-3.43225841089774
"Y_21",4.63433243117402,8.15478224540515
"Y_22",5.15899980705327,8.15659285079968
"Y_23",7.05604108833649,-7.44384388693698
"Y_24",9.57910911344946,-1.51814665006964
"Y_25",6.30795110826738,-4.3657961584466
"Y_26",2.52958803039655,-2.61458175453837
"Y_27",3.61280321005254,-4.56386288103638
"Y_28",-8.87285390207741,-0.888014982865219
"Y_29",5.24638644644204,6.58234092389129
"Y_30",6.13900708054114,-5.06107724746409
"Y_31",5.38774743881725,6.7289291507345
"Y_32",-3.7037640259893,-9.7232794394652
"Y_33",5.61101261089034,7.91704843542537
"Y_34",4.475641214662,8.20315669454067
"Y_35",-6.67525913694423,-1.47030964401176
"Y_36",5.93401493894069,7.61819012168047
"Y_37",-4.04416841958018,8.9670438486238
"Y_38",8.15058145123503,-3.10198197042806
"Y_39",7.67133942934831,-6.55572922329503
"Y_40",-8.35976342016847,-0.950084523300016
"Y_41",5.67787332989811,7.91799658415896
"Y_42",-1.88664713988655,-12.3941120272238
"Y_43",5.67297865871779,-5.29040307427003
"Y_44",-8.5654212736665,-1.14813753269957
"Y_45",5.37109083433215,8.0805450910962
"Y_46",3.01691434969556,7.95398419467784
"Y_47",5.57903977673039,-4.55779324521065
"Y_48",-7.75767911530465,-1.36800379817071
"Y_49",4.96685615953419,8.0908184585344
"Y_50",-8.61441946760075,-0.468203334940157
"Y_51",-8.85753927971881,-0.642451829010698
"Y_52",-5.01939209394129,-8.8960813293772
"Y_53",-7.98638118030232,10.8163516211918
"Y_54",2.01839096772729,-3.87625782149495
"Y_55",-3.25779884796877,12.19180720989
"Y_56",-2.46157406649201,-11.6840510721667
"Y_57",4.75825021354003,7.97524230019205
"Y_58",-3.65779767541152,12.6144634332865
"Y_59",5.69161181970147,6.69747877062791
"Y_60",5.26931338095779,-1.93697643742021
"Y_61",4.89615162380812,7.72809289502772
"Y_62",-3.85622231318649,12.6303269635029
"Y_63",2.02713812287545,7.14963284701206
"Y_64",-7.48690925032437,-1.10269915308874
"Y_65",-7.9388547000615,10.9413155002787
"Y_66",-8.57123927500295,10.0997208701334
"Y_67",-7.1317093077213,-1.55678298128091
"Y_68",5.50814165701288,7.86609106067553
"Y_69",-1.4974206153273,-12.6180034744568
"Y_70",-7.20506485298441,3.65836168033535
"Y_71",-11.2103786399314,4.84106985703268
"Y_72",-8.13390211636795,4.48999557424001
"Y_73",-4.4652510844904,11.3100774083569
"Y_74",-11.4642170898309,4.7295622813211
"Y_75",2.2774235906974,-2.91285947470381
"Y_76",-1.53226484154698,-12.3667465368987
"Y_77",-6.62840927680859,10.2177689398892
"Y_78",7.02839568960264,-8.38706421908994
"Y_79",4.75017790506632,-2.72029728687301
"Y_80",3.69231743145124,3.35216685482212
"Y_81",-5.14154764663864,-8.56762924631464
"Y_82",-13.4201493869021,2.6461356795619
"Y_83",-4.70067660654414,-6.44746896457465
"Y_84",-7.39589715954207,10.580590527265
"Y_85",2.27694723244956,7.26943848992894
"Y_86",-4.55658557848855,10.1996175869889
"Y_87",0.451022289408172,-5.52589631349536
"Y_88",-8.20050993784153,4.71380738083881
"Y_89",2.07276980476089,-13.3424968337327
"Y_90",5.67991025144067,6.89423463893113
"Y_91",-4.9541669095225,-8.57150352709786
"Y_92",-11.5571947958638,4.10097869296044
"Y_93",5.13765405401783,5.18961929498383
"Y_94",-8.99932997821074,4.88670635551851
"Y_95",1.90056477353171,5.44423162441271
"Y_96",-11.0293384872156,4.66556167598332
"Y_97",3.17145505880515,11.5102945900717
"Y_98",5.1867564037855,6.50368706474314
"Y_99",-12.5965463891214,2.46954414619274
"Y_100",-12.5644139159824,3.23625434938285
"Y_101",-8.86996480232938,4.83215775695322
"Y_102",-6.33384370392018,10.2657464652787
"Y_103",-4.81285592048728,-7.93356763943752
"Y_104",7.76850291406506,-8.09807311307902
"Y_105",-12.5771649712617,2.80316789316164
"Y_106",2.38081480706053,3.88370741563411
"Y_107",-8.57135941909449,4.8153942526718
"Y_108",4.57273972083112,4.75499079009955
"Y_109",3.81937908211398,10.9963994341309
"Y_110",-4.63102697554058,-6.29508252785934
"Y_111",2.88878242378181,11.7114762230098
"Y_112",-7.58038353445434,4.4926834213616
"Y_113",-12.3819354601986,3.46074204782546
"Y_114",-11.6638134549362,4.48689419613792
"Y_115",7.51670763926192,-7.13290450993402
"Y_116",-13.2456197296982,2.96456623076373
"Y_117",-11.1554738017065,4.33370387530606
"Y_118",-9.79991841799422,4.64392112518061
"Y_119",-9.4188130696276,4.86797611009018
"Y_120",7.09518230171502,-7.27592952228327
"Y_121",4.96002604442991,7.86580410078421
"Y_122",7.31002279735114,-8.06212932830792
