"cluster","cell_number","percent_of_all_cells"
"0",8020,17.79
"1",4605,10.21
"2",4226,9.37
"3",3974,8.81
"4",3543,7.86
"5",3109,6.9
"6",2246,4.98
"7",2124,4.71
"8",1667,3.7
"9",1602,3.55
"10",1589,3.52
"11",1564,3.47
"12",1499,3.32
"13",1188,2.64
"14",904,2.01
"15",890,1.97
"16",798,1.77
"17",690,1.53
"18",481,1.07
"19",170,0.38
"20",134,0.3
"21",61,0.14
