"cluster","score_Epithelial_like","score_T_cell","score_NK_cell","score_B_cell","score_Plasma_cell","score_Myeloid","score_Macrophage","score_Dendritic_cell","score_Fibroblast","score_Endothelial","score_Mural_pericyte","score_Mast_cell","cell_number","preliminary_celltype_auto","manual_celltype","final_celltype"
"0",-0.0432385069925838,1.09329631404891,0.148241417908894,-0.0400494168494458,-0.0736404761748232,-0.308891365638573,-0.111876948719834,-0.0500233798444391,-0.125312256472592,-0.0470173719985574,-0.0412232964133868,-0.0450752649503782,8749,"T_cell","",""
"1",1.31677157726695,-0.134930065180127,-0.207040531141264,-0.190876410709136,0.122782473979382,-0.187013407787419,-0.0662997984557965,-0.102694683747518,-0.025917823119858,-0.0366207442609663,-0.00924381596028112,-0.0245227549467182,7513,"Epithelial_like","",""
"2",-0.165958351477006,0.313582515194039,-0.119814869813166,0.957350126209634,-0.169318354561312,1.24965280702842,1.15701098160067,1.11460327295646,-0.188983442519038,-0.0108170906503933,-0.065517758978679,-0.066284460468521,4179,"Myeloid","",""
"3",1.65583726012809,-0.122171888862772,-0.189054916868687,-0.130752351588789,0.0811960443012734,-0.0779717888956774,-0.0503181053027809,-0.0402136599312224,-0.0427454156084923,-0.0310590148229778,-0.0198207254303304,-0.0080408526715253,4165,"Epithelial_like","",""
"4",1.35183593866803,-0.118983198272365,-0.425329326034862,-0.258102762282462,-0.106729610772253,-0.261840263062147,-0.20320245069618,-0.0961035556524985,-0.224110392953411,-0.120819352006515,-0.0321354553605944,-0.0924073672889404,3858,"Epithelial_like","",""
"5",-0.182556567584869,1.34629393676816,-0.268281059457295,-0.0184781622100102,-0.122762692332013,-0.356143956935211,-0.179983880650156,-0.0791016315835456,-0.19860291236091,-0.0834299621403211,-0.0552826918045628,-0.064032771096935,3227,"T_cell","",""
"6",-0.236178990640848,0.892469964378524,1.47040290516496,0.0429679148764397,-0.180983302584988,-0.180068912423609,-0.176413517734281,0.0359413118845612,-0.197713989856608,-0.067381500346187,-0.0732784726080608,-0.0665855236125099,2238,"NK_cell","",""
"7",-0.206538432392157,0.133804824829553,-0.34184110873314,-0.286852297441666,-0.151372842709767,-0.221920674015724,-0.0172647874378257,-0.19510603840878,2.26145981639204,-0.1079735801264,0.669648603421198,-0.077488325122276,2216,"Fibroblast","",""
"8",-0.16622823970656,0.552124996719086,-0.285963368752571,1.65574198192386,0.276276925663995,-0.42041544724272,-0.131276208119085,0.838538472928279,-0.147524005410312,-0.0595121312928801,-0.0354866874300116,-0.0460650726120792,1674,"B_cell","",""
"9",0.0612040099903952,0.363388136601781,-0.125803490061012,0.133655761248418,2.45099051381112,-0.192983526546111,-0.0598457389540286,0.0287642569155063,-0.0441742620899801,0.0118445254268042,-0.0165284757352961,-0.0211910911288377,1586,"Plasma_cell","",""
"10",-0.218080488457424,0.164883636365088,-0.34977170218911,0.199956751408188,-0.168142375358179,-0.307764753962028,-0.187581677930428,0.277333208010417,-0.011717748042478,1.22910171773139,0.101971813513734,-0.0952925148938548,1546,"Endothelial","",""
"11",-0.0677738906719793,0.582179461087167,0.228049350313236,0.0646553073036248,-0.0727514829056259,-0.34900987903252,-0.173901854038806,0.0553143576001707,-0.182935646002835,-0.0817171024046519,-0.0687439260226249,-0.0714274224142002,1527,"T_cell","",""
"12",-0.274105222053072,0.194922234415506,-0.267737852864718,-0.0158326188385041,-0.219547608934984,0.567435971329451,-0.102887633016698,-0.0567033017636259,-0.18848345647141,-0.0748357099234372,-0.0732258472812285,2.86594825612901,790,"Mast_cell","",""
"13",-0.205302435095156,0.484437499052396,0.26164034796366,0.844619016562623,0.667700437402013,0.123616958301934,-0.0782784945264234,0.823765623783732,-0.22719176228646,-0.0358500275516696,-0.0609046318345489,-0.0640999187529692,604,"B_cell","",""
"14",0.347593220646379,0.578467275938082,-0.134349732313493,0.22683103821884,0.072886565431332,0.616090721397954,0.0294735677794021,0.260293287543688,-0.0597713700415726,-0.00768868618560012,-0.0194275799344071,-0.0203304659250174,547,"Myeloid","",""
"15",-0.159092347981811,0.407449351366015,-0.306967627709776,0.776285119139187,-0.117317279908733,0.0191486991886903,-0.100570199827933,0.849228354175793,-0.167098590869584,-0.0631155630985498,-0.0138224341458591,-0.0605317422621814,435,"Dendritic_cell","",""
"16",-0.124492286778795,0.172853256342713,-0.411156802444385,-0.274503187909293,-0.228589461211186,-0.310782601847307,-0.22811698627586,-0.15501899988849,-0.175224950586215,0.955722350648822,-0.106761994820698,-0.107766954158192,152,"Endothelial","",""
"17",0.382026164542392,0.284499432252744,-0.223033050629828,0.0537514240562419,-0.0251368376495861,-0.103017001561812,-0.106523714958887,0.110656140877198,-0.0617745475513666,-0.0655169599069767,-0.0140732667870225,-0.0417567593440241,55,"Epithelial_like","",""
