"gene","present_in_matrix"
"SASH1",TRUE
"MYH11",TRUE
"EMP1",TRUE
"COL1A1",TRUE
"EPCAM",TRUE
"KRT5",TRUE
"KRT14",TRUE
"KRT17",TRUE
"KRT19",TRUE
"TP63",TRUE
"MUC7",TRUE
"PIP",TRUE
"PRR4",TRUE
"CRISP3",TRUE
"STATH",TRUE
"FDCSP",TRUE
"MKI67",TRUE
"TOP2A",TRUE
"CDC20",TRUE
"CTAG2",TRUE
"MAGEA4",TRUE
"MAGEB2",TRUE
"MAGEA1",TRUE
"IVL",TRUE
"SPRR1B",TRUE
