"rank","gene"
323,"IGLV7-43"
324,"CCL26"
325,"TNFRSF11B"
326,"MMRN1"
327,"SERPINB13"
328,"GDF15"
329,"CTSK"
330,"SLC6A14"
331,"IGFL2-AS1"
332,"COL8A1"
333,"CST6"
334,"FAM25A"
335,"KLK11"
336,"IL36G"
337,"ALDH1A1"
338,"AVP"
339,"COL6A1"
340,"PODXL"
341,"HPGDS"
342,"SELENOP"
343,"IGHV4-59"
344,"XCL1"
345,"CCL3L1"
346,"UPK3BL1"
347,"DEFB4A"
348,"CCL20"
349,"AKR1C2"
350,"DKK1"
351,"FAM3D"
352,"CMA1"
353,"THY1"
354,"PSCA"
355,"FNDC1"
356,"C11orf96"
357,"ID4"
358,"CRTAM"
359,"TNNC1"
360,"SOD3"
361,"MEG3"
362,"LIPA"
363,"IL6"
364,"FBP1"
365,"INSR"
366,"TMPRSS2"
367,"CRTAC1"
368,"NRXN1"
369,"WNT5A"
370,"HEPHL1"
371,"ABI3BP"
372,"FLG2"
373,"PLAT"
374,"TMPRSS11D"
375,"CP"
376,"COL14A1"
377,"IGKV1-16"
378,"CPE"
379,"SELP"
380,"GAS1"
381,"KLK5"
382,"DSC2"
383,"EDN1"
384,"TMPRSS11E"
385,"GSTA1"
386,"SAA2"
387,"IL22RA2"
388,"MFAP4"
389,"LAMP5"
390,"CALB2"
391,"CASP14"
392,"S100A8"
393,"LYPD3"
394,"DIRAS3"
395,"CYP1B1"
396,"SPARCL1"
397,"KRT2"
398,"DSC1"
399,"APLNR"
400,"FBLN1"
401,"SYNPO2"
402,"C1QC"
403,"SLCO2A1"
404,"TSPAN8"
405,"PPP1R14A"
406,"PROX1"
407,"AL022476.1"
408,"RNASE1"
409,"UBE2C"
410,"SLN"
411,"C1QB"
412,"MYF5"
413,"IGHV7-4-1"
414,"MYL2"
415,"IGHD"
416,"ANKRD1"
417,"AKR1C1"
418,"HMOX1"
419,"IL17F"
420,"COL6A2"
421,"SDS"
422,"KRT6B"
423,"CCL4L2"
424,"IGHV2-70"
425,"IGHV2-26"
426,"ITGBL1"
427,"LINC00520"
428,"AC004921.2"
429,"DUOX2"
430,"PTHLH"
431,"HAL"
432,"SPINK6"
433,"ADAMTS5"
434,"GRP"
435,"CSTB"
436,"CRABP1"
