"rank","gene"
1377,"CHGB"
1378,"EDN3"
1379,"EPGN"
1380,"FOXQ1"
1381,"FAM92B"
1382,"ID1"
1383,"ANTXR1"
1384,"TNFSF4"
1385,"IFI30"
1386,"FCRL5"
1387,"IFNL2"
1388,"LINC02829"
1389,"CSF1R"
1390,"AL157895.1"
1391,"JAM2"
1392,"TNXB"
1393,"HSD11B1-AS1"
1394,"TNFRSF17"
1395,"LILRA4"
1396,"BCAM"
1397,"AL590550.1"
1398,"INHBA-AS1"
1399,"NPTX1"
1400,"PIEZO2"
1401,"SVEP1"
1402,"SCN7A"
1403,"TMEM79"
1404,"ADAMTS8"
1405,"PRSS23"
1406,"PLAUR"
1407,"BMP3"
1408,"MSLN"
1409,"TIE1"
1410,"DLC1"
1411,"UPK1A"
1412,"AP000851.1"
1413,"ATP6V0A4"
1414,"BCAS1"
1415,"RPL39L"
1416,"KRT5"
1417,"LTB4R"
1418,"KCNK2"
1419,"LINC01485"
1420,"SLC7A2"
1421,"SLC5A1"
1422,"TOX3"
1423,"PADI1"
1424,"CFH"
1425,"LINC00243"
1426,"RAB3C"
1427,"PODN"
1428,"CLCA2"
1429,"CA12"
1430,"EGR2"
1431,"LTBP1"
1432,"GADD45G"
1433,"DPEP2NB"
1434,"DHCR7"
1435,"OLFM2"
1436,"VPREB3"
1437,"PSG6"
1438,"KRT24"
1439,"ROBO4"
1440,"CCNA2"
1441,"LINC01366"
1442,"FLRT2"
1443,"IL20RB"
1444,"LINC02802"
1445,"RSPO3"
1446,"SMIM5"
1447,"FLNC"
1448,"LINC02159"
1449,"VNN3"
1450,"CYP26B1"
1451,"ARRDC4"
1452,"HES6"
1453,"FGF10"
1454,"FGFR3"
1455,"CD200"
1456,"UCHL1"
1457,"LDB2"
1458,"RHOBTB3"
1459,"SCNN1D"
1460,"TMIGD3"
1461,"TSPAN2"
1462,"SLC6A8"
1463,"FAM110C"
1464,"EGFLAM"
1465,"GASK1B"
1466,"FSTL3"
1467,"AC105460.1"
1468,"ADAMTS12"
1469,"HSPB7"
1470,"MT1E"
1471,"SLAMF7"
1472,"FCER1G"
1473,"IGKV1D-8"
1474,"NOSTRIN"
1475,"LINC00958"
1476,"AC097105.1"
1477,"AC073210.3"
1478,"BANK1"
1479,"SLC47A2"
1480,"OLFML2B"
1481,"PDGFD"
1482,"ALOX12B"
1483,"ANKRD22"
1484,"COL4A4"
1485,"F2R"
1486,"ADPRHL1"
1487,"CLDN3"
1488,"SMR3B"
1489,"GABRA2"
1490,"STAB1"
1491,"DUOXA1"
1492,"ATP10B"
1493,"KRTAP4-6"
1494,"ODC1"
1495,"ANGPTL1"
1496,"AADACL2"
1497,"ODAM"
1498,"CAV2"
1499,"C1orf54"
1500,"SDR16C5"
1501,"HCAR2"
1502,"ITGA7"
1503,"PF4"
1504,"TP63"
1505,"CPXM2"
1506,"ERFE"
1507,"HES1"
1508,"KIF14"
1509,"COBL"
1510,"STAP1"
1511,"TSLP"
1512,"GPR157"
1513,"STEAP2"
1514,"CTSB"
1515,"CDH1"
1516,"DSG2"
1517,"HIST1H1D"
1518,"PDGFRL"
1519,"FOSL1"
1520,"HEY1"
1521,"RND3"
1522,"PRSS8"
1523,"CDH6"
1524,"SGPP2"
1525,"TGM6"
1526,"ZNF117"
1527,"RHOD"
1528,"CYTL1"
1529,"CD300LG"
1530,"SLC45A3"
1531,"TNFSF11"
1532,"IGLC7"
1533,"ITGA3"
1534,"AURKA"
1535,"SDR9C7"
1536,"S1PR3"
1537,"CCL5"
1538,"CCND1"
1539,"MYL3"
1540,"CTC1"
1541,"F2RL3"
1542,"PRXL2A"
1543,"CDX1"
1544,"LTBP2"
1545,"AC079753.2"
1546,"CSPG4"
1547,"CTSZ"
1548,"FXYD3"
1549,"LMCD1"
1550,"VTCN1"
1551,"CCDC27"
1552,"IGHV5-10-1"
1553,"CYYR1"
1554,"NUAK1"
1555,"IL3RA"
1556,"ADAD2"
1557,"PSAPL1"
1558,"ITGB2"
1559,"KNL1"
1560,"TSPAN1"
1561,"FCGR2B"
1562,"LINC01235"
1563,"SCGB1D2"
1564,"FGFR1"
1565,"ARHGAP29"
1566,"MYBPH"
1567,"HBG1"
1568,"BMX"
1569,"TJP2"
1570,"ITPKC"
1571,"FOXC2"
1572,"IGKV2-29"
1573,"RELN"
1574,"DSEL"
1575,"HIST1H1B"
1576,"CREB3L1"
1577,"AQP9"
1578,"CENPW"
1579,"AC012464.3"
1580,"TMEM114"
1581,"MAD2L1"
1582,"OPRPN"
1583,"ERRFI1"
1584,"PITX1"
1585,"C11orf53"
1586,"AC018678.1"
1587,"APOBEC2"
1588,"C3AR1"
1589,"PLA2G4E"
1590,"SMPD3"
1591,"HAP1"
1592,"AC010319.3"
1593,"IGKV1D-39"
1594,"MT1X"
1595,"CEL"
1596,"CLSTN2"
1597,"LXN"
1598,"HLA-DQB1"
1599,"SEMA4B"
1600,"FAM13C"
1601,"C2"
1602,"PCP4"
1603,"MYH7"
1604,"C2CD4A"
1605,"CITED4"
1606,"ROBO2"
1607,"AC073257.2"
1608,"MBOAT2"
1609,"ABCA12"
1610,"EBF1"
1611,"LINC01322"
1612,"BGLAP"
1613,"PLAAT2"
1614,"PGF"
1615,"CCK"
1616,"LINC02446"
1617,"MISP"
1618,"ZBTB10"
1619,"HLA-DPB1"
1620,"PREX2"
1621,"OLFM1"
1622,"BX255925.1"
1623,"PRUNE2"
1624,"PSAP"
1625,"PRKG1"
1626,"CD86"
1627,"HS3ST6"
1628,"CYP27A1"
1629,"TMEFF2"
1630,"AC100801.1"
1631,"IMPA2"
1632,"ATP1B1"
1633,"PCK1"
1634,"TREML1"
1635,"TNS4"
1636,"INHBB"
1637,"TRPC6"
1638,"AC083967.1"
1639,"SGIP1"
1640,"TYROBP"
1641,"TTR"
1642,"MEDAG"
1643,"VLDLR"
1644,"ANGPTL2"
1645,"PLTP"
1646,"CRIM1"
1647,"SERPINB7"
1648,"TMEM265"
1649,"IGLON5"
1650,"TK1"
1651,"FXYD1"
1652,"SDC3"
1653,"BCL2A1"
1654,"BMP8A"
1655,"MT1F"
1656,"CCR1"
1657,"SOX10"
1658,"IRF6"
1659,"GDPD3"
1660,"PTPRZ1"
1661,"RBP4"
1662,"LUZP2"
1663,"CD69"
1664,"IGLV5-48"
1665,"PTGER1"
1666,"LINC02582"
1667,"TRDN"
1668,"CTSD"
1669,"TENT5B"
1670,"CDKN2A"
1671,"CLEC4E"
1672,"RAET1E"
1673,"FCGR3B"
1674,"SYNPO2L"
1675,"TNFSF13"
1676,"FILIP1"
1677,"GPT2"
1678,"IL6R-AS1"
1679,"TRIM54"
1680,"PLD3"
1681,"TYR"
1682,"AC239799.2"
1683,"LRG1"
1684,"CLDN8"
1685,"RND1"
1686,"TUBB2A"
1687,"SYT4"
1688,"TNIP3"
1689,"RGPD3"
1690,"GPIHBP1"
1691,"AOX1"
1692,"CX3CL1"
1693,"AC117453.1"
1694,"IRF4"
1695,"ITGAX"
1696,"IRX3"
1697,"SQLE"
1698,"MET"
1699,"FAT1"
1700,"LILRB5"
1701,"POU3F1"
1702,"CKMT2"
1703,"TPSD1"
1704,"EPS8"
1705,"JUP"
1706,"PTTG1"
1707,"AC079822.1"
1708,"TMPRSS11F"
1709,"ELF5"
1710,"DKK3"
1711,"NPY2R"
1712,"CDK6"
1713,"LINC00511"
1714,"CR2"
1715,"FTL"
1716,"FJX1"
1717,"PKD2L1"
1718,"PHLDA2"
1719,"OLFML2A"
1720,"TLL2"
1721,"LINC01480"
1722,"GPR183"
1723,"LINC02362"
1724,"PMP2"
1725,"IGKV1D-16"
1726,"NPY"
1727,"MUC21"
1728,"SCN3A"
1729,"PGA5"
1730,"APOL1"
1731,"FGFBP2"
1732,"WNT6"
1733,"TUBB6"
1734,"SEMA3C"
1735,"COL6A5"
1736,"TMEM106C"
1737,"PGLYRP4"
1738,"TINAGL1"
1739,"PCDH9"
1740,"GLUL"
1741,"ADIRF"
1742,"ORC6"
1743,"PPP1R1B"
1744,"LINC02376"
1745,"DDIT4L"
1746,"MAFB"
1747,"MYOCD"
1748,"TMPRSS7"
1749,"GRB10"
1750,"AL034376.2"
1751,"APOLD1"
1752,"AJUBA"
1753,"NECTIN1"
1754,"TRIM29"
1755,"TMEM59L"
1756,"C4orf19"
1757,"MSX1"
1758,"PTGFRN"
1759,"MRC2"
1760,"CRX"
1761,"PCSK2"
1762,"LINC02515"
1763,"CFAP58"
1764,"CACNG1"
1765,"S100A2"
1766,"ECT2"
1767,"LINC00337"
1768,"TMEM119"
1769,"TSPAN11"
1770,"ADCY4"
1771,"MYOG"
1772,"RBFOX1"
1773,"COLEC12"
1774,"AL449363.2"
1775,"SLITRK6"
1776,"MIR503HG"
1777,"NSG1"
1778,"HEXD-IT1"
1779,"MUSK"
1780,"CYP19A1"
1781,"CTSS"
1782,"TEK"
1783,"TFEC"
1784,"IGHV3-72"
1785,"LAIR2"
1786,"LINC00707"
1787,"C1QTNF1"
1788,"SIGLEC15"
1789,"CXADR"
1790,"FCGR1A"
1791,"DUOX1"
1792,"SLC7A7"
1793,"SMC2"
1794,"NELL1"
1795,"CKS2"
1796,"BMP8B"
1797,"CSF2RA"
1798,"BMPER"
1799,"KIF2C"
1800,"SNX10"
1801,"LSAMP"
1802,"GM2A"
1803,"LHX6"
1804,"HUNK"
1805,"ID3"
1806,"JAG1"
1807,"KCNK17"
1808,"AC136475.4"
1809,"NLRP3"
1810,"PTGER3"
1811,"PCDH18"
1812,"IGKV6-21"
1813,"SRPX2"
1814,"LEXM"
1815,"RBMS3"
1816,"EFEMP2"
1817,"LHFPL2"
1818,"SPIC"
1819,"LINC01198"
1820,"DAB2"
1821,"CYB5R1"
1822,"CCRL2"
1823,"PDGFA"
1824,"FOXP3"
1825,"TRIM16"
1826,"BEX1"
1827,"SELENOM"
1828,"DCSTAMP"
1829,"LINC01226"
1830,"AC073352.2"
1831,"PCDH7"
1832,"AL590705.1"
1833,"SLITRK5"
1834,"MT2A"
1835,"CBR3"
1836,"NCAM1"
1837,"SEMA3D"
1838,"KCNJ10"
1839,"FARP1"
1840,"ANO1"
1841,"KCNJ2"
1842,"AP002852.1"
1843,"AC093772.1"
1844,"ZNF571"
1845,"CHST1"
1846,"CD177"
1847,"CNTFR"
1848,"CWH43"
1849,"CCL27"
1850,"PEG10"
1851,"P2RX2"
1852,"FOXS1"
1853,"DMBT1"
1854,"CPM"
1855,"LINC01991"
1856,"PCLO"
1857,"FNIP2"
1858,"SPI1"
1859,"NPTX2"
1860,"L3MBTL1"
1861,"SNAI1"
1862,"ALAS2"
1863,"GEMIN7-AS1"
1864,"ASPG"
1865,"AMPD1"
1866,"TCEAL7"
1867,"CFTR"
1868,"ZWINT"
1869,"LCN6"
1870,"XDH"
1871,"TNFAIP2"
1872,"COL25A1"
1873,"SLC22A1"
1874,"WDR64"
1875,"GAP43"
1876,"AC016717.2"
1877,"PKP2"
1878,"SLC26A9"
1879,"AC122108.2"
1880,"KRT14"
1881,"MRVI1"
1882,"AP001360.2"
1883,"INSM2"
1884,"NXPH4"
1885,"TMEM41A"
1886,"ZBED2"
1887,"KLF5"
1888,"NQO1"
1889,"FLNB"
1890,"DHCR24"
1891,"GPSM2"
1892,"MIR7-3HG"
1893,"AL450992.1"
1894,"GOLM1"
1895,"GLYATL2"
1896,"F2RL2"
1897,"CDC20B"
1898,"NFIB"
1899,"SERINC2"
1900,"CDCA8"
1901,"AC036176.3"
1902,"PTP4A3"
1903,"DUXAP8"
1904,"SHISA2"
1905,"NOXO1"
1906,"LRATD1"
1907,"CRIP2"
1908,"ITIH3"
1909,"LINC01608"
1910,"BX255923.2"
1911,"EFNB2"
1912,"UBE2T"
1913,"LINC01871"
1914,"THEM5"
1915,"CLDN11"
1916,"SRPK3"
1917,"PLPPR4"
1918,"PCSK5"
1919,"AL391056.1"
1920,"PYDC1"
1921,"LYPD1"
1922,"KCNK15"
1923,"ATAD2"
1924,"OLIG2"
1925,"PDE5A"
1926,"GFRA1"
1927,"OTUD1"
1928,"SLC39A2"
1929,"SNAI2"
1930,"HSPA2"
1931,"PLPP1"
1932,"MEF2C"
1933,"SNHG25"
1934,"AC113133.1"
1935,"TCF4"
1936,"GBP5"
1937,"DUSP26"
1938,"KNSTRN"
1939,"ACVRL1"
1940,"GABRE"
1941,"TRPA1"
1942,"APOF"
1943,"PROK2"
1944,"SST"
1945,"UBD"
1946,"GNG4"
1947,"SMIM22"
1948,"SLC13A4"
1949,"CDH13"
1950,"CD22"
1951,"CACNA2D3"
1952,"NT5E"
1953,"APELA"
1954,"TM7SF2"
1955,"GPR84"
1956,"ANK2"
1957,"AC104024.1"
1958,"PSG9"
1959,"CD70"
1960,"KIF20B"
1961,"ORM2"
1962,"PRRG4"
1963,"PRF1"
1964,"ANO5"
1965,"CD40"
1966,"ART4"
1967,"LURAP1L"
1968,"BIRC7"
1969,"TPBG"
1970,"UPP1"
1971,"GFRA3"
1972,"ALOX15"
1973,"CREG1"
1974,"LINC00632"
1975,"P4HA2"
1976,"RNASE6"
1977,"NTN4"
1978,"HMGB2"
1979,"ALCAM"
1980,"CDKN1C"
1981,"STRA6"
1982,"PIK3R3"
1983,"GRIA3"
1984,"KPRP"
1985,"CYP3A5"
1986,"HES2"
1987,"TSPAN13"
1988,"TPO"
1989,"ADAMTSL2"
1990,"KCNK1"
1991,"HLA-DMB"
1992,"DLL4"
1993,"AC016134.1"
1994,"GZMH"
1995,"RGS3"
1996,"SERPINI1"
1997,"AC010624.5"
1998,"INSL4"
1999,"TNFSF10"
2000,"S100A14"
