"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.79348950508128e-99,6.01389024242399,0.412,0.008,2.1049435804274e-94,"scB9","MSLN"
8.76128782931707e-75,6.00698181390481,0.318,0.002,2.36633622982025e-70,"scB9","HOXD-AS2"
1.71327317913354e-56,6.00649923970484,0.248,0.002,4.62737952952179e-52,"scB9","AC092490.1"
1.78177138216307e-47,5.87730897639539,0.207,0,4.81238632608424e-43,"scB9","EGFLAM"
5.05178653890655e-49,5.82690235840245,0.216,0.001,1.36443702629327e-44,"scB9","CCDC190"
2.85995477257752e-104,5.60818934059264,0.423,0.003,7.72445184525462e-100,"scB9","AC110995.1"
6.15606918774385e-38,5.34253188902887,0.18,0.006,1.66269272691774e-33,"scB9","TFPI2"
1.40132156396849e-23,4.99671574610609,0.105,0,3.78482941212249e-19,"scB9","LINC01338"
1.1473994216833e-65,4.80238535125165,0.303,0.011,3.09901109802442e-61,"scB9","NPR3"
9.48547075516996e-52,4.71738799515054,0.238,0.006,2.56193079626385e-47,"scB9","GDNF"
2.37747070976469e-23,4.64759216220846,0.107,0.001,6.42131064000345e-19,"scB9","LINC00839"
7.69650160398493e-107,4.49693703203527,0.473,0.026,2.07874811822029e-102,"scB9","SEMA5A"
1.47427348256199e-86,4.37430732775593,0.408,0.028,3.98186524905168e-82,"scB9","PXDN"
2.28619625649258e-90,4.37127632549076,0.422,0.03,6.1747874691608e-86,"scB9","ARL9"
2.18157605351255e-87,4.33145733889739,0.409,0.026,5.89221876293205e-83,"scB9","CSAG1"
4.3621121455627e-43,4.29821717474558,0.216,0.012,1.17816286939503e-38,"scB9","TOX"
1.95196520785397e-30,4.27137597839509,0.154,0.008,5.27206282989279e-26,"scB9","FAM167A"
1.97176085440725e-50,5.67113432659998,0.136,0.001,5.32552889166854e-46,"scB10","SENCR"
1.17470345096213e-112,5.49048566995986,0.561,0.053,3.17275655070361e-108,"scB10","HAS2"
4.91834469867431e-52,5.37541984907142,0.152,0.002,1.32839571966494e-47,"scB10","AMZ1"
1.81771624819268e-176,5.289380043443,0.571,0.015,4.90946981474362e-172,"scB10","KCTD14"
