"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.35193101424728,0.637,0.087,0,"5","ICOS"
0,3.33644914542301,0.438,0.075,0,"5","LAYN"
0,3.25992756020927,0.251,0.022,0,"5","LINC02195"
0,3.1645752163093,0.112,0.01,0,"5","AC133644.2"
0,3.15992437755716,0.134,0.02,0,"5","HIST1H3B"
0,3.14640815363658,0.362,0.048,0,"5","LINC01943"
0,3.1424122696773,0.521,0.08,0,"5","CD27"
0,3.1094528696055,0.403,0.06,0,"5","CCR6"
0,3.08457055772445,0.293,0.05,0,"5","IL1R2"
0,3.05578587314488,0.502,0.079,0,"5","IKZF2"
0,3.02143155829909,0.357,0.041,0,"5","CXCR6"
0,3.01995726809667,0.214,0.025,0,"5","ZBTB32"
2.17388884170148e-322,3.00809429648187,0.22,0.053,5.87145637255154e-318,"5","MAGEH1"
0,2.99994456333046,0.212,0.041,0,"5","IKZF4"
0,3.13453848252125,0.451,0.14,0,"3","RHOD"
4.46575838983986e-118,2.93331710172339,0.159,0.065,1.20615668351185e-113,"3","CDC20"
8.15109475216354e-270,2.86836978719745,0.319,0.137,2.20152918161185e-265,"3","KRT18"
3.03754503660044e-108,2.8369088929094,0.189,0.089,8.20410538935412e-104,"3","KRT8"
3.3833505621047e-140,2.77408478483204,0.158,0.058,9.13809153318857e-136,"3","MMP10"
1.41523271382365e-67,2.76618692744159,0.161,0.086,3.82240203676629e-63,"3","TNS4"
9.59518515088124e-37,2.7300614701605,0.108,0.06,2.59156355740151e-32,"3","ANLN"
2.3707385762491e-73,2.69837859886892,0.177,0.096,6.40312782059119e-69,"3","PFN2"
1.9283836810538e-68,2.6652793305751,0.161,0.086,5.20837148415822e-64,"3","C16orf74"
5.56843930777747e-97,2.58232254147526,0.187,0.093,1.50397977263762e-92,"3","FERMT1"
6.02502003703903e-100,2.56859397621629,0.185,0.09,1.62729766180387e-95,"3","PLEK2"
