"epithelial_cluster","state_Basal_like","state_Differentiated_squamous","state_EMT_like","state_Cycling","cell_number","dominant_state_auto"
"1",1.85527449231815,-0.101636056363426,-0.0761168503254713,0.0610111957123815,7513,"Basal_like"
"3",1.94808269049164,0.75547668661486,-0.255906077365594,-0.114985799549869,4165,"Basal_like"
"4",1.80081833302224,-0.1177802286832,0.139593728650925,0.0321791170156024,3858,"Basal_like"
"17",-0.0532775492139189,-0.248668959903961,-0.125021962744155,-0.161305587959929,55,"Basal_like"
