"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"GZMK",1.46202871564844e-14,-1.67958484678981,2.39367658988143e-16,0.99999998765552,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"AL355607.2",1.45197695777315e-14,-1.67994915774704,2.3608756658068e-16,0.999999987740391,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"IGLC3",1.43011384776875e-14,-1.68074908469165,2.29031327828975e-16,0.99999998792499,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"NRN1",1.42802573206811e-14,-1.68082603235534,2.28362996745718e-16,0.999999987942621,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"KBTBD12",1.4248157027725e-14,-1.68094451131225,2.27337485808366e-16,0.999999987969724,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COBL",1.39402395693588e-14,-1.682092789853,2.17617662871462e-16,0.999999988229711,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"TNN",1.3926374617936e-14,-1.68214500481591,2.17184993428721e-16,0.999999988241418,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"CD27",1.36765743025651e-14,-1.68309346888079,2.09463485332072e-16,0.999999988452334,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"AC020909.2",1.3572547075223e-14,-1.68349283729533,2.06289147143933e-16,0.999999988540168,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"OTOF",1.35239345868464e-14,-1.68368036526991,2.04814071055282e-16,0.999999988581213,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"MTUS2-AS1",1.35092653357952e-14,-1.68373706708013,2.04369993253525e-16,0.999999988593599,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"SGCG",1.34580836019989e-14,-1.68393531699182,2.02824358353707e-16,0.999999988636814,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"LOR",1.33886165459663e-14,-1.68420543143259,2.00735911281221e-16,0.999999988695468,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"GPR84",1.31771129049272e-14,-1.68503530702679,1.94443845408676e-16,0.999999988874049,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"AC005005.4",1.30312683439259e-14,-1.68561423851808,1.90163447902248e-16,0.999999988997191,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"CCL18",1.28785871945228e-14,-1.68622629402562,1.85733444300036e-16,0.999999989126105,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"MYL4",1.28717401418612e-14,-1.68625388747783,1.85536002051022e-16,0.999999989131887,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"PHF24",1.26981938143108e-14,-1.68695751411317,1.80566662173406e-16,0.999999989278419,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"MIR133A1HG",1.26913697158014e-14,-1.68698534994463,1.80372638738189e-16,0.99999998928418,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"LINC02099",1.24761401101289e-14,-1.68786994002962,1.74306729275298e-16,0.999999989465907,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"TBC1D30",1.24509925932488e-14,-1.68797414833408,1.736047551552e-16,0.99999998948714,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"UBE2L5",1.23443912711071e-14,-1.68841790631648,1.7064478662098e-16,0.999999989577148,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"ATP1B4",1.22332820255314e-14,-1.68888394253128,1.67586736262762e-16,0.999999989670962,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
